# id:14-14--14 
0.72,0.59,1
0.96,-0.97,1
-0.76,-0.41,1
-0.62,0.21,1
0.91,-0.92,1
-0.12,-0.89,1
-0.02,0.15,-1
0.44,-0.89,1
-0.36,-0.23,1
0.34,0.02,1
0.55,0.08,1
-0.72,0.67,-1
0.91,-0.99,1
0.3,-0.39,1
0.54,-0.54,1
-0.56,-0.86,1
-0.93,-0.5,1
0.8,0.43,1
0.64,0.43,-1
-0.19,0.82,-1
0.17,0.62,-1
0.82,0.48,1
-0.28,0.21,-1
0.18,-0.71,1
-0.49,-0.45,1
0.02,0.08,1
0.49,-0.41,1
-0.02,0.22,-1
-0.51,0.11,1
-0.19,0.17,-1
0.75,-0.72,1
-0.68,-0.08,1
0.94,-0.46,1
-0.4,-0.83,1
-0.01,0.58,-1
-0.15,-0.79,1
-0.78,0.35,1
0.74,-0.83,1
-0.22,0.48,-1
-0.25,0.09,-1
0.55,-0.27,1
-0.04,0.57,-1
-0.13,0.81,-1
-0.59,0.95,-1
-0.16,0.76,-1
0.86,0.07,1
0.35,-0.8,1
-0.7,-0.34,1
0.21,0.11,-1
-0.18,0.91,-1
-0.38,-0.29,1
0.52,0.76,-1
0.07,0.81,-1
-0.77,0.97,-1
0.39,-0.65,1
-0.15,0.37,-1
-0.72,-0.31,1
0.14,-0.45,1
0.2,-0.66,1
0.01,-0.41,1
-0.12,-0.65,1
0.63,0.83,-1
-0.22,-0.07,1
-0.44,-0.25,1
0.64,-0.75,1
-0.63,-0.82,1
-0.83,0.79,-1
-0.25,0.36,-1
-0.88,0.04,1
0.82,0.24,1
0.71,0.84,-1
0.1,0.66,-1
-0.33,0.24,-1
-0.61,0.44,-1
0.43,-0.88,1
0.05,0.65,-1
0.06,-0.25,1
0.41,-0.11,1
-0.65,0.01,1
0.18,0.48,-1
-0.41,0.51,-1
-0.31,0.79,-1
0.07,-0.76,1
-0.95,0.8,1
-0.33,-0.03,1
-0.11,0.42,-1
0.59,-0.55,1
-0.11,0.55,-1
-0.65,0.41,-1
0.9,-0.43,1
0.95,0.77,1
-0.36,0.72,-1
-0.48,0.65,-1
0.31,-0.71,1
0.13,0.15,-1
-0.38,0.53,-1
-0.8,-0.22,1
0.9,-0.09,1
0.19,0.25,-1
-0.76,0.75,-1
-0.98,0.11,1
-0.32,0.35,-1
0.21,-0.31,1
0.04,-0.49,1
0.99,-0.28,1
0.93,-0.04,1
0.24,-0.13,1
0.42,0.71,-1
0.31,0.91,-1
-0.37,-0.77,1
0,0.11,-1
0.38,0.27,-1
-0.13,-0.77,1
-0.33,-0.98,1
-0.7,0.23,1
0.92,0.32,1
0.13,0.5,-1
-0.58,0.37,-1
0.27,0.53,-1
-0.37,-0.57,1
0.96,0.26,1
0.83,0.9,-1
-0.53,-0.66,1
-0.06,-0.99,1
0.62,0.95,-1
0.34,-0.43,1
-0.81,0.56,1
0.75,0.65,-1
0.37,-0.82,1
0.2,0.16,-1
-0.37,-0.39,1
-1,0.46,1
-0.65,0.78,-1
0.21,-0.64,1
0.34,1,-1
0.06,0.22,-1
0,0.73,-1
-0.27,0.16,-1
0.38,0.58,-1
-0.81,0.97,-1
0.7,-0.25,1
0.46,-0.06,1
0.91,-0.1,1
0.57,-0.66,1
0.89,0.91,-1
-0.45,-0.03,1
0.27,0.46,-1
0.34,-0.8,1
0.43,-0.63,1
-0.26,-0.49,1
0.98,0.1,1
-0.94,-0.42,1
0.51,-0.68,1
0.01,0.29,-1
0.64,0.09,1
0.4,0.5,-1
-0.57,0.24,1
-0.61,0.39,-1
-0.53,0.22,1
-0.94,0.46,1
0.92,-0.72,1
0.16,0.13,-1
-0.63,0.22,1
-0.96,-0.69,1
0.44,-0.26,1
-0.33,0.88,-1
